이름,위도,경도,소재지,연락처,구분,휴무일,운영시간
신정1행정복지센터,35.5413847,129.3065311,울산광역시 남구 월평로9번길 7,052-226-2791,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
신정2행정복지센터,35.5346458,129.3078655,울산광역시 남구 봉월로20번길 9,052-226-2792,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
신정3행정복지센터,35.5449628,129.3163532,울산광역시 남구 월평로103번길 18,052-226-2793,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
신정4행정복지센터,35.5293928,129.3144548,울산광역시 남구 수암로64번길 16,052-226-2794,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
신정5행정복지센터,35.5448149,129.321438,울산광역시 남구 월평로 147,052-226-2795,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
달행정복지센터,35.5363758,129.3165637,울산광역시 남구 돋질로92번길 28,052-226-2796,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
삼산행정복지센터,35.5443959,129.3319099,울산광역시 남구 삼산중로131번길 36,052-226-2797,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
삼호행정복지센터,35.5499989,129.266001,울산광역시 남구 삼호로 15,052-226-2797,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
무거행정복지센터,35.5509285,129.260668,울산광역시 남구 대학로147번길 38,052-226-2799,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
옥행정복지센터,35.5352463,129.2938374,울산광역시 남구 문수로369번길 5,052-226-2800,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
야음장생포행정복지센터,35.5217678,129.3371578,울산광역시 남구 여천로12번길 50,052-226-2801,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
대현행정복지센터,35.5265045,129.3268578,울산광역시 남구 수암로 182,052-226-2802,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
수암행정복지센터,35.5243961,129.3184376,울산광역시 남구 중앙로 32,052-226-2803,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
선암행정복지센터,35.5150599,129.3382634,울산광역시 남구 산업로339번길 17 선암커뮤니티센터 2층,052-226-2804,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
방어행정복지센터,35.4862004,129.4241066,울산광역시 동구 꽃바위로 325,052-209-4150,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
일산행정복지센터,35.4991344,129.4313054,울산광역시 동구 일산진11길 123,052-209-4180,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
화정행정복지센터,35.4958764,129.4225876,울산광역시 동구 대송로 140,052-209-4210,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
대송행정복지센터,35.5031285,129.4184709,울산광역시 동구 대송5길 10,052-209-4256,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
전하1행정복지센터,35.5168083,129.4286334,울산광역시 동구 바드래3길 55,052-209-4270,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
전하2행정복지센터,35.5088365,129.4267314,울산광역시 동구 진성4길 45,052-209-4300,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
남목1행정복지센터,35.5392537,129.4208008,울산광역시 동구 방어진순환도로 1170,052-209-4360,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
남목2행정복지센터,35.5246078,129.4313366,울산광역시 동구 명덕6길 33,052-209-4390,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
남목3행정복지센터,35.546059,129.4313472,울산광역시 동구 동해안로 100,052-295-6200,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
농소1행정복지센터,35.6227659,129.3560339,울산광역시 북구 호계2길 10,052-295-6597,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
농소2행정복지센터,35.6383096,129.3482933,울산광역시 북구 찬샘1길 24,052-282-6270,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
농소3행정복지센터,35.6286568,129.3397028,울산광역시 북구 신답로 77,052-282-6270,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
강동행정복지센터,35.6128931,129.445534,울산광역시 북구 무룡로 1096,052-295-9001,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
효문행정복지센터,35.5777473,129.3612009,울산광역시 북구 산업로 970 효문동주민센터,052-287-0505,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
송정행정복지센터,35.5923096,129.3651871,울산광역시 북구 송내14길 41,052-287-0506,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
양정행정복지센터,35.5486368,129.3854571,울산광역시 북구 오치골3길 16-1,052-241-8528,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
염포행정복지센터,35.5306897,129.3943075,울산광역시 북구 염포로 707,052-288-4438,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
범서행정복지센터,35.5686509,129.2306495,울산광역시 울주군 범서읍 송현길 72,052-211-5000,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
온산행정복지센터,35.4359576,129.3055426,울산광역시 울주군 온산읍 서영남1길 21 (임시 청사),052-238-3001,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
언양행정복지센터,35.5692673,129.1256521,울산광역시 울주군 언양읍 동문길 7,052-262-3001,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
온양행정복지센터,35.4184331,129.2810193,울산광역시 울주군 온양읍 남창1길 20,052-238-3505,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
청량행정복지센터,35.4931506,129.3061387,울산광역시 울주군 청량읍 신덕하3길 5,052-268-3001,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
삼남행정복지센터,35.5409867,129.108532,울산광역시 울주군 삼남읍 작괘들길 2,052-263-8860,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
서생행정복지센터,35.3498705,129.3261846,울산광역시 울주군 서생면 해맞이로 894,052-239-5301,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
웅촌행정복지센터,35.4612703,129.2084963,울산광역시 울주군 웅촌면 새초천길 12,052-225-3001,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
두동행정복지센터,35.6542887,129.2012503,울산광역시 울주군 두동면 대밀길 28,052-262-7511,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
두서행정복지센터,35.6477405,129.1616541,울산광역시 울주군 두서면 반구대로 1817-11,052-262-6400,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
상북행정복지센터,35.5904636,129.0912083,울산광역시울주군 상북면 도동신리로 5,052-262-2302,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
삼동행정복지센터,35.5235591,129.1576441,울산광역시 울주군 삼동면 삼동로 777,052-264-8044,행정복지센터,토/일/공휴일,(월-금)09:00~18:00
해강약국,35.5707805,129.3418384,울산광역시 중구 곽남5길 22@ 1층 (남외동),052-281-7172,약국,,
허브약국,35.5668362,129.3508714,울산광역시 중구 남외2길 36@ 1층 (남외동@ 맘스빌딩),052-294-7576,약국,,
기쁜우리약국,35.5682155999999,129.3502837,울산광역시 중구 남외2길 50@ (남외동@ 트레져프라자 101호),052-294-7588,약국,,
효성약국,35.5682155999999,129.3502837,울산광역시 중구 남외2길 50@ 105호 (남외동@ 트레져프라자),052-281-7715,약국,,
오거리약국,35.5681029,129.3437199,울산광역시 중구 번영로 564@ 1층 (남외동),052-286-4245,약국,,
미소약국,35.5681095,129.3439856,울산광역시 중구 번영로 566@ 1층 (남외동),052-295-3489,약국,,
신병영약국,35.5708729,129.3506229,울산광역시 중구 번영로 571@ (남외동),052-296-2665,약국,,
시원약국,35.5684469,129.3448089,울산광역시 중구 번영로 574@ 동천빌딩 1층 (남외동),052-298-8881,약국,,
무지개약국,35.5684735,129.345032,울산광역시 중구 번영로 576@ 1층 (남외동),052-298-8087,약국,,
서진약국,35.5692574,129.3449017,울산광역시 중구 번영로 577@ 1층 (남외동),070-8242-7669,약국,,
보성약국,35.5712769,129.3437992,울산광역시 중구 번영로 580@ 1층 103호 (남외동@ 스카이엠빌딩),052-286-3340,약국,,
비타민약국,35.5696813,129.3510245,울산광역시 중구 번영로 582@ (남외동),052-292-2688,약국,,
희망약국,35.5712769,129.3437992,울산광역시 중구 번영로 590@ 유림빌딩 103호 (남외동),052-294-0906,약국,,
보강약국,35.5701766,129.3462645,울산광역시 중구 병영로 10@ 1층 (남외동),052-293-3826,약국,,
가까운온누리약국,35.5682098,129.3506307,울산광역시 중구 외솔큰길 207@ 1층 (남외동),052-297-3500,약국,,
다운약국,35.5628675,129.2675302,울산광역시 중구 다운로 110@ (다운동),052-223-9457,약국,,
동화약국,35.563025,129.2667784,울산광역시 중구 다운로 115@ (다운동),052-249-0266,약국,,
부부약국,35.5586895,129.2722027,울산광역시 중구 다운로 46@ 1층 (다운동),052-249-1527,약국,,
다정약국,35.558549,129.2717714,울산광역시 중구 다운로 47@ (다운동),052-247-1411,약국,,
솔약국,35.5556839,129.2752265,울산광역시 중구 북부순환도로 111@ 1층 (다운동),052-249-5025,약국,,
봄봄약국,35.5581594,129.3406873,울산광역시 중구  화합로 361@ 1층 (반구동),052-282-8858,약국,,
정약국,35.5544766,129.3463432,울산광역시 중구 내황13길 2@ 1층 (반구동),052-291-1103,약국,,
부광약국,35.5578441,129.344143,울산광역시 중구 반구정4길 52@ (반구동),052-281-4071,약국,,
정대약국,35.5584522,129.344373,울산광역시 중구 반구정4길 64@ 1층 (반구동),052-292-2909,약국,,
행복한약국,35.5607146,129.3380588,울산광역시 중구 번영로 484@ 1층 102호 (반구동),070-8864-6263,약국,,
학성약국,35.5594991,129.3433517,울산광역시 중구 염포로 17@ 1층 (반구동),052-286-4333,약국,,
백옥약국,35.5585762,129.3428284,울산광역시 중구 염포로 8@ 1층 103호 (반구동),052-292-0224,약국,,
새시온약국,35.557952,129.3406623,울산광역시 중구 화합로 357@ (반구동),052-292-7568,약국,,
금성약국,35.5581598,129.3420686,울산광역시 중구 화합로 360@ 1층 (반구동),052-297-3100,약국,,
미래건강약국,35.5617091,129.3379274,울산광역시 중구 화합로 409@ (반구동),052-297-3373,약국,,
자연약국,35.5672465,129.3323251,울산광역시 중구 도화골길 5@ 1층 (복산동),052-292-3440,약국,,
한사랑약국,35.5645471,129.3284058,울산광역시 중구 번영로 475@ (복산동),052-296-9991,약국,,
동광온누리약국,35.5635977,129.3260594,울산광역시 중구 손골4길 6@ 1층 (복산동),052-296-6786,약국,,
광제약국,35.5813415,129.3465508,울산광역시 중구 동천5길 16@ 1층 (서동),052-296-4239,약국,,
문화약국,35.5825915,129.3461252,울산광역시 중구 동천6길 6@ 1층 (서동),052-292-7500,약국,,
바오밥약국,35.581534,129.3398753,울산광역시 중구 종가17길 52@ 혁신프라자 108호 (서동),052-295-1120,약국,,
조은약국,35.5569816,129.320869,울산광역시 중구 장춘로 114@ 1층 (성남동),052-246-5552,약국,,
황제약국,35.5556,129.3180054,울산광역시 중구 중앙길 85-1@ (성남동),052-245-9479,약국,,
성남약국,35.5542298,129.3180261,울산광역시 중구 학성로 62@ 1층 (성남동),052-243-7697,약국,,
시계탑약국,35.5555335,129.3203639,울산광역시 중구 학성로 92@ (성남동),052-246-2500,약국,,
맘편한약국,35.5773955,129.3181236,울산광역시 중구 성안로 194@ B동 1층 (성안동),052-244-6766,약국,,
효정약국,35.577742,129.3184824,울산광역시 중구 성안로 200@ 1층 (성안동),052-235-8568,약국,,
햇빛약국,35.5751235,129.3081928,울산광역시 중구 함월6길 66@ 104호 (성안동),052-246-6355,약국,,
복산약국,35.5648465,129.3362398,울산광역시 중구 번영로 485@ 1층 (약사동),052-281-2400,약국,,
푸른약국,35.5649845,129.3366259,울산광역시 중구 번영로 487@ 1층 (약사동),052-291-8001,약국,,
플러스약국,35.5544048,129.3219363,울산광역시 중구 시계탑거리 19@ (옥교동),052-211-5580,약국,,
라온약국,35.5534899,129.3219331,울산광역시 중구 시계탑거리 39@ 1층 (옥교동),052-211-7775,약국,,
옥교온누리약국,35.5561821,129.3244869,울산광역시 중구 옥골샘4길 1@ (옥교동),052-246-3888,약국,,
일신약국,35.5557525,129.3232285,울산광역시 중구 학성로 111-1@ 1층 (옥교동),052-243-8324,약국,,
규당약국,35.5555017,129.3237213,울산광역시 중구 학성로 116@ 1층 (옥교동),052-243-1253,약국,,
송약국,35.5556387,129.3242391,울산광역시 중구 학성로 121@ (옥교동),052-248-3301,약국,,
동신약국,35.5556387,129.3242391,울산광역시 중구 학성로 122@ 1층 (옥교동),052-211-2235,약국,,
세정약국,35.5559855,129.3243536,울산광역시 중구 학성로 123@ 1층 (옥교동),052-244-1221,약국,,
세명약국,35.5541693,129.3234298,울산광역시 중구 학성로 99@ 101호 (옥교동),052-211-3949,약국,,
대원약국,35.5553239,129.3095415,울산광역시 중구 명륜로 34@ 1층 (우정동),052-245-8803,약국,,
토마스약국,35.5582631,129.3119017,울산광역시 중구 명륜로 75@ (우정동),052-248-3556,약국,,
그린약국,35.5576371,129.3086358,울산광역시 중구 유곡로 10@ 1층 (우정동),052-244-3064,약국,,
태화약국,35.556667,129.3067841,울산광역시 중구 유곡로 26@ 1층 (우정동),052-245-7504,약국,,
서일약국,35.556362,129.3098823,울산광역시 중구 장춘로 1@ 1층 (우정동),052-244-3690,약국,,
호호약국,35.5629788,129.3107231,울산광역시 중구 종가6길 32@ 201@202호 (우정동),052-246-4242,약국,,
혁신온누리약국,35.563533,129.311727,울산광역시 중구 종가6길 4-5@ 1층 113호 (우정동),052-246-1220,약국,,
곰약국,35.5603225,129.2955932,울산광역시 중구 종가4길 9@ 1층 (유곡동),052-212-9472,약국,,
아로리약국,35.5603258,129.3047858,울산광역시 중구 평동3길 1@ 122동 202호 (유곡동@ 푸르지오),052-211-5211,약국,,
미소열린약국,35.5539892,129.308635,울산광역시 중구 명륜로 17@ 1층 (태화동),052-248-8275,약국,,
장약국,35.556028,129.30923,울산광역시 중구 명륜로 41@ 1층 (태화동),052-260-4667,약국,,
다정약국,35.556291,129.3082961,울산광역시 중구 유곡로 11@ 1층 (태화동),052-244-2525,약국,,
태일약국,35.5518206,129.3008006,울산광역시 중구 태화강국가정원길 231-12@ 1층 (태화동),052-243-8433,약국,,
명정약국,35.5530836,129.2895244,울산광역시 중구 태화로 124@ (태화동),052-223-3579,약국,,
새유명약국,35.552409,129.2945425,울산광역시 중구 태화로 172@ 1층 (태화동),052-246-2228,약국,,
새물약국,35.5520942,129.2953582,울산광역시 중구 태화로 180@ B동 1층 (태화동),052-243-2590,약국,,
뉴새운약국,35.5525695,129.3006684,울산광역시 중구 태화로 231@ 1층 (태화동),052-244-3157,약국,,
박약국,35.5526216,129.3008234,울산광역시 중구 태화로 233@ 1층 (태화동),052-243-5221,약국,,
함지약국,35.5541661,129.3076729,울산광역시 중구 화진길 26@ 지하1층 (태화동),052-244-5556,약국,,
정문약국,35.5573216,129.3269392,울산광역시 중구 번영로 366@ 1층 (학산동),052-246-4545,약국,,
스카이약국,35.5579805,129.3254417,울산광역시 중구 번영로 371@ 1층 102호 (학산동),052-291-2660,약국,,
영원약국,35.5548289,129.3276525,울산광역시 중구 옥교6길 7@ 1층 (학산동),052-297-5366,약국,,
한마음약국,35.5589797,129.326954,울산광역시 중구 장춘로 171@ 1층 (학산동),052-243-2267,약국,,
편한약국,35.5561096,129.3273414,울산광역시 중구 학성로 150@ 1층 (학산동),052-244-2500,약국,,
중앙약국,35.557883,129.3306762,울산광역시 중구 학성4길 72@ 1층 (학성동),052-296-9418,약국,,
함제약국,35.5564854,129.3290805,울산광역시 중구 학성로 166@ 1층 (학성동),052-243-6868,약국,,
도담약국,35.5569291,129.3293751,울산광역시 중구 학성로 169@ 1층 1호 (학성동),052-294-4749,약국,,
울산광역시세명약국,35.5567462,129.3305824,울산광역시 중구 학성로 180@ 101-102호 (학성동),052-297-8275,약국,,
혜민약국,35.5403752,129.3223877,울산광역시 남구 돋질로 154@ (달동),052-269-6597,약국,,
옵티마 유성약국,35.5424761,129.3300496,울산광역시 남구 돋질로 228@ 1층 (달동),052-266-3656,약국,,
울산제일약국,35.5383904,129.314811,울산광역시 남구 돋질로 82@ (달동),052-260-4384,약국,,
경희약국,35.5351021,129.3285339,울산광역시 남구 번영로 109@ 106호 (달동),052-260-2672,약국,,
해맑은약국,35.5358852,129.3281975,울산광역시 남구 번영로 119@ (달동),052-257-4403,약국,,
보아스약국,35.5395797,129.3275588,울산광역시 남구 번영로 160@ 1층 (달동),052-267-8840,약국,,
해성약국,35.5336549,129.3300165,울산광역시 남구 번영로 90-1@ (달동),052-261-8981,약국,,
한솔약국,35.5347808,129.3287361,울산광역시 남구 번영로107번길 1@ (달동),052-267-2631,약국,,
하나로약국,35.5412534,129.3272256,울산광역시 남구 번영로180번길 2@ (달동),052-268-1291,약국,,
편안한약국,35.5351649,129.3199583,울산광역시 남구 삼산로 112@ (달동),052-269-2265,약국,,
피엔비약국,35.535767,129.3223291,울산광역시 남구 삼산로 136@ (달동),052-248-7973,약국,,
올리브약국,35.536389,129.3222287,울산광역시 남구 삼산로 137@ (달동),052-257-5700,약국,,
가람약국,35.5370149,129.3246498,울산광역시 남구 삼산로 159-1@ (달동),052-257-7584,약국,,
하진약국,35.5372036,129.3255001,울산광역시 남구 삼산로 167@ (달동),052-265-0525,약국,,
맑은하늘약국,35.5373538,129.3259201,울산광역시 남구 삼산로 171@ (달동),052-268-5224,약국,,
메디칼약국,35.5381435,129.3291394,울산광역시 남구 삼산로 201@ 1층 (달동),052-265-5672,약국,,
조아약국,35.5382409,129.3300359,울산광역시 남구 삼산로 209@ (달동),052-258-8728,약국,,
밝은약국,35.5383109,129.3304081,울산광역시 남구 삼산로 213@ 1층 (달동),052-260-8350,약국,,
명동약국,35.5377811,129.3309285,울산광역시 남구 삼산로 216@ 1층 (달동),052-261-9537,약국,,
해바라기약국,35.5388502,129.3326657,울산광역시 남구 삼산로 231@ 울산 센트럴 자이 1층 106호 (달동),052-257-1267,약국,,
왕약국,35.5389236,129.3336695,울산광역시 남구 삼산로 243@ 1층 (달동),052-266-4171,약국,,
진약국,35.5371622,129.3293925,울산광역시 남구 삼산로 247@ 1층 (달동@ 마마파파앤베이비빌딩),052-258-4722,약국,,
나라약국,35.538528,129.3349971,울산광역시 남구 삼산로 254@ (달동),052-275-3829,약국,,
부강약국,35.5337394,129.3155036,울산광역시 남구 삼산로 257@ (달동@ 금양빌딩),052-257-7795,약국,,
성도약국,35.5340072,129.3159148,울산광역시 남구 삼산로 74@ (달동@ 롯데마트울산점),052-275-1122,약국,,
삼산현대약국,35.5397227,129.3351446,울산광역시 남구 삼산중로 69@ (달동),052-268-5666,약국,,
거봉약국,35.5398837,129.3350227,울산광역시 남구 삼산중로 71@ 1층 (달동),052-272-1112,약국,,
신현대약국,35.5347677,129.3220319,울산광역시 남구 신정로 33@ (달동),052-256-1135,약국,,
금약국,35.534968,129.3219729,울산광역시 남구 신정로 35@ (달동),052-258-7003,약국,,
미래팜연세약국,35.5353757,129.321837,울산광역시 남구 신정로 39@ (달동),052-258-0063,약국,,
동인당한약국,35.5329094,129.3223777,울산광역시 남구 신정로 9@ 2층 202호 (달동),052-261-7510,약국,,
울산우리안약국,35.5346159,129.3197665,울산광역시 남구 신정로37번길 21@ (달동),052-266-1502,약국,,
안약사의안약국,35.5357161,129.3141129,울산광역시 남구 중앙로 164@ (달동),052-267-8879,약국,,
마음편한약국,35.5340893,129.3406152,울산광역시 남구 화합로 105@ 1층 (달동),052-261-8296,약국,,
두레약국,35.555214,129.2633001,울산광역시 남구 굴화3길 5-3@ (무거동),052-223-6163,약국,,
메디팜행복약국,35.5459688,129.2615748,울산광역시 남구 대학로 128@ 1층 (무거동@ 하늘빌딩),052-249-6966,약국,,
대학약국,35.5465778,129.2620028,울산광역시 남구 대학로 136@ 1층 (무거동),052-247-0247,약국,,
오렌지약국,35.5467714,129.2621257,울산광역시 남구 대학로 138@ 3층 (무거동),052-277-7900,약국,,
문성온누리약국,35.5473544,129.261726,울산광역시 남구 대학로 141@ (무거동),052-249-0372,약국,,
한창약국,35.5397375,129.2541944,울산광역시 남구 대학로33번길 17@ (무거동),052-247-6498,약국,,
울대정문약국,35.543094,129.2603726,울산광역시 남구 대학로94번길 6@ 1층 전면우측호 (무거동),052-222-8418,약국,,
보령약국,35.5514873,129.2650952,울산광역시 남구 북부순환도로 13@ (무거동),052-247-3388,약국,,
굿모닝약국,35.5512004,129.2657085,울산광역시 남구 북부순환도로 14@ (무거동),052-249-9095,약국,,
건강한약국,35.5520711,129.2663084,울산광역시 남구 북부순환도로 23@ 1층 (무거동@ 경민빌딩),052-223-8415,약국,,
무지개약국,35.5515258,129.2664415,울산광역시 남구 북부순환도로 24@ 1층 (무거동),052-277-3314,약국,,
기린약국,35.5525082,129.2662,울산광역시 남구 북부순환도로 25@ 1층 (무거동),052-277-8272,약국,,
e조은약국,35.5526694,129.2684928,울산광역시 남구 북부순환도로 45@ 1층 (무거동),052-277-9881,약국,,
삼호약국,35.5526889,129.2688536,울산광역시 남구 북부순환도로 47@ (무거동),052-223-1181,약국,,
온누리큰사랑약국,35.5522146,129.2689796,울산광역시 남구 북부순환도로 48@ (무거동),052-277-8803,약국,,
무거우리들약국,35.5510031,129.2645718,울산광역시 남구 북부순환도로 5@ 1층 101호 (무거동),052-273-3888,약국,,
더나은약국,35.5523636,129.2705027,울산광역시 남구 북부순환도로 64@ (무거동),052-223-0922,약국,,
무거현대약국,35.548586,129.2553997,울산광역시 남구 신복로71번길 7@ 2동 202호 (무거동@ 무거현대아파트상가),052-247-5428,약국,,
한사랑약국,35.5517653,129.2547123,울산광역시 남구 신복로72번길 26@ 101호 (무거동),052-247-6533,약국,,
늘푸른약국,35.5521732,129.2551479,울산광역시 남구 신복로72번길 28-14@ (무거동),052-249-0211,약국,,
새천년약국,35.5495728,129.2732477,울산광역시 남구 어은로 4@ (무거동),052-247-7381,약국,,
옥산약국,35.54112,129.2618687,울산광역시 남구 옥현로58번길 4@ (무거동),052-222-0180,약국,,
애플약국,35.5546614,129.2647531,울산광역시 남구 울밀로 2906@ (무거동@ 한솔애플타워),052-222-7582,약국,,
두산약국,35.5521079,129.2582192,울산광역시 남구 장검1길 21-62@ (무거동),052-249-0673,약국,,
산들약국,35.5454726,129.3479366,울산광역시 남구 남중로 123@ 1층 (삼산동),052-267-5338,약국,,
바른약국,35.5377014,129.3471988,울산광역시 남구 남중로 37@ 1층 105호 (삼산동),052-267-0923,약국,,
울산21세기약국,35.5380368,129.3483864,울산광역시 남구 남중로 48@ 울산점 EMART (삼산동),052-266-6166,약국,,
삼산하나약국,35.5444622,129.3351968,울산광역시 남구 돋질로 277-1@ (삼산동),052-227-7987,약국,,
주약국,35.5410832,129.3315591,울산광역시 남구 돋질로 369@ 1층 102호 (삼산동),052-267-7588,약국,,
울산세이브존약국,35.5480133999999,129.3246297,울산광역시 남구 번영로250번길 9@ 지하1층 (삼산동),052-266-9500,약국,,
웰빙약국,35.5386858,129.3356476,울산광역시 남구 삼산로 260@ (삼산동),052-274-4850,약국,,
강남약국,35.5387907,129.3362818,울산광역시 남구 삼산로 266@ (삼산동),052-271-3101,약국,,
울산탑약국,35.5394609,129.3365298,울산광역시 남구 삼산로 269@ 1층 (삼산동),052-261-0048,약국,,
삼산약국,35.5389011,129.3368757,울산광역시 남구 삼산로 272@ (삼산동),052-256-2427,약국,,
삼산맑은약국,35.5395081,129.3367823,울산광역시 남구 삼산로 273@ 1층 (삼산동@ 삼산타원),052-224-6100,약국,,
월드약국,35.5389315,129.3370373,울산광역시 남구 삼산로 274@ 1층 (삼산동),052-257-7754,약국,,
도담약국,35.5395833,129.3371853,울산광역시 남구 삼산로 275@ 101호 (삼산동@ 킴스빌딩),052-269-7871,약국,,
스타약국,35.539671,129.3376496,울산광역시 남구 삼산로 281@ 1층 (삼산동),052-275-2331,약국,,
삼산보령약국,35.5397302,129.3379654,울산광역시 남구 삼산로 283@ 소망빌딩 1층 (삼산동),052-256-1240,약국,,
롯데약국,35.539757,129.3381091,울산광역시 남구 삼산로 285@ 1층 (삼산동),052-275-0098,약국,,
미래팜터미널약국,35.5373937,129.3393885,울산광역시 남구 삼산로 288@ (삼산동@ 울산고속버스터미널),052-257-3196,약국,,
메디팜백화점약국,35.5399442,129.3362912,울산광역시 남구 삼산로267번길 8@ (삼산동),052-274-2929,약국,,
마법사약국,35.5384846,129.3372969,울산광역시 남구 삼산로278번길 8@ (삼산동),052-911-8865,약국,,
21세기건강약국,35.5448157,129.3354803,울산광역시 남구 삼산중로 125@ (삼산동),052-258-6028,약국,,
지니약국,35.541243,129.335743,울산광역시 남구 삼산중로 86@ 1층 (삼산동),070-7576-3365,약국,,
아름약국,35.5421897,129.3357163,울산광역시 남구 삼산중로 98@ (삼산동),052-260-1483,약국,,
성심약국,35.544813,129.3361478,울산광역시 남구 삼산중로128번길 4@ 1층 (삼산동),052-275-0331,약국,,
현대프라자약국,35.5404248,129.3362201,울산광역시 남구 삼산중로74번길 7@ (삼산동),052-261-1141,약국,,
보람약국,35.5404682,129.3437466,울산광역시 남구 정동로 73@ (삼산동),052-260-3457,약국,,
